"","richness_seq"
"1",40
"2",42
"3",22
"4",36
"5",27
"6",38
"7",41
"8",41
"9",40
"10",37
"11",40
"12",42
"13",22
"14",36
"15",27
"16",38
"17",41
"18",41
"19",40
"20",37
"21",40
"22",42
"23",22
"24",36
"25",27
"26",38
"27",41
"28",41
"29",40
"30",37
"31",40
"32",42
"33",22
"34",36
"35",27
"36",38
"37",41
"38",41
"39",40
"40",37
