"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Staurosirella.pinnata.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",296.892433377672,306.041535944354,0.30826,NA,17,5,0.755,0.704,0.127,0.122,1,0,0,0,1,1,0,0,0,0,0,0,0
"Staurosirella.pinnata.Fe+waterT","Fe+waterT","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",297.560155065466,306.760070152492,0.38436,NA,13,3,1.423,1.423,0.091,0.085,0,0,0,0,1,1,0,0,0,0,0,0,0
"Staurosirella.pinnata.waterT","waterT","s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",297.569087818413,305.891243997211,0.37894,NA,9,1,1.432,0.554,0.091,0.132,0,0,0,0,0,1,0,0,0,0,0,0,0
"Staurosirella.pinnata.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",297.99787609625,307.197791183276,0.37672,NA,13,3,1.86,1.86,0.073,0.068,0,0,0,1,0,1,0,0,0,0,0,0,0
"Staurosirella.sp.2.mix_event+Zmax_m","mix_event+Zmax_m","s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",215.747607102679,224.947522189704,0.61284,NA,13.11,5,0,0.386,0.237,0.199,0,0,0,0,0,0,0,1,0,1,0,0,0
"Staurosirella.sp.2.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",216.239450449187,224.561606627984,0.45232,NA,9,1,0.492,0,0.185,0.241,0,0,0,0,0,0,0,1,0,0,0,0,0
"Staurosirella.sp.2.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",217.288517487375,225.610673666172,0.07138,NA,9,1,1.541,1.049,0.109,0.143,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tabellaria.fenestrata","bare_rock+Ca","s(bare_rock, k = 5, bs = ""cr"") + s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",183.428868654839,192.628783741864,0.20528,NA,13,0,0,0,0.424,0.362,1,0,0,0,0,0,0,0,0,0,0,0,1
"Tabellaria.flocculosa.mix_event+Zmax_m","mix_event+Zmax_m","s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",277.944449567571,287.144364654596,0.51342,NA,13,5,0,0,0.399,0.385,0,0,0,0,0,0,0,1,0,1,0,0,0
"Tabellaria.flocculosa.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",279.427211892807,288.576314459489,0.51411,NA,17,7,1.483,1.432,0.19,0.188,0,0,0,0,1,0,0,1,0,1,0,0,0
"Tabellaria.flocculosa.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",279.779405346582,288.928507913264,0.50244,NA,17,7,1.835,1.784,0.159,0.158,0,0,1,0,0,0,0,1,0,1,0,0,0
"Ulnaria.delicatissima","Altitude+Zmax_m","s(Altitude, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",203.589496835572,212.789411922597,0.32023,NA,13,5,0,0,0.792,0.742,0,0,0,0,0,0,0,0,0,1,1,0,0
