"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Nitzschia.Atucyacu.1.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.169640662015,272.491796840813,0.83649,NA,9,5,0,0,0.473,0.567,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nitzschia.Atucyacu.1.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.984875533434,274.184790620459,0.84044,NA,13,4,0.815,1.693,0.315,0.243,0,1,0,0,0,0,1,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K+mix_event","K+mix_event","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",263.929733506943,273.129648593969,0.27543,NA,13,0,0,0,0.102,0.096,0,0,1,0,0,0,0,1,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Alkalinity+Zmax_m","Alkalinity+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.834657911802,274.034572998827,0.34785,NA,13,1,0.905,0.905,0.065,0.061,0,0,0,1,0,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Ca+wetland","Ca+wetland","s(Ca, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.88141264592,274.081327732946,0.19211,NA,13,1,0.952,0.952,0.064,0.06,1,0,0,0,0,0,0,0,0,0,0,1,0
"Nitzschia.cf.oberheimiana.Fe+K+mix_event","Fe+K+mix_event","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.51740570801,274.666508274692,0.27936,NA,17.1,2,1.588,1.537,0.046,0.045,0,0,1,0,1,0,0,1,0,0,0,0,0
"Nitzschia.cf.oberheimiana.wetland","wetland","s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.550697093345,273.872853272142,0.19525,NA,9,0,1.621,0.743,0.046,0.066,0,0,0,0,0,0,0,0,0,0,0,1,0
"Nitzschia.cf.oberheimiana.K+Zmax_m","K+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.612862815621,274.812777902646,0.32993,NA,13,2,1.683,1.683,0.044,0.041,0,0,1,0,0,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Fe+K+Zmax_m","Fe+K+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.652069988094,274.801172554776,0.38954,NA,17.02,3,1.722,1.672,0.043,0.042,0,0,1,0,1,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.758943158746,274.908045725428,0.20318,NA,17,3,1.829,1.778,0.041,0.039,1,0,0,0,1,0,0,0,0,0,0,1,0
"Nitzschia.cf.oberheimiana.wetland+Zmax_m","wetland+Zmax_m","s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.785587600153,274.985502687179,0.22165,NA,13.33,3,1.856,1.856,0.04,0.038,0,0,0,0,0,0,0,0,0,1,0,1,0
"Pseudostaurosira.laucensis.Fe+waterT+Zmax_m","Fe+waterT+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.720537649965,340.869640216647,0.0174,NA,17,4,0,0,0.269,0.27,0,0,0,0,1,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.Alkalinity+waterT+Zmax_m","Alkalinity+waterT+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.278284132373,341.427386699055,0.0766,NA,17,3,0.558,0.558,0.203,0.204,0,0,0,1,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.waterT+Zmax_m","waterT+Zmax_m","s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.308983594551,341.508898681576,0.01662,NA,13,2,0.588,0.639,0.2,0.196,0,0,0,0,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.K+waterT+Zmax_m","K+waterT+Zmax_m","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",333.224227837078,342.373330403759,0.01489,NA,17,4,1.504,1.504,0.127,0.127,0,0,1,0,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.Mg+waterT+Zmax_m","Mg+waterT+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",333.321469608603,342.470572175285,0.01801,NA,17,5,1.601,1.601,0.121,0.121,0,1,0,0,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.santaremensis.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.781880574587,344.930983141269,0.49009,NA,17,6,0,0,0.06,0.06,0,1,0,0,0,0,0,1,0,1,0,0,0
