"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.minutissimum.Zmax_m","Zmax_m","s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",385.905661867522,394.227818046319,0.35243,NA,9,2,5.945,5.119,0.005,0.008,0,0,0,0,0,0,0,0,0,1,0,0,0
"Achnanthidium.minutissimum.Fe+Mg+mix_event","Fe+Mg+mix_event","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",386.481310685226,395.630413251908,0.07477,NA,17,6,6.521,6.521,0.004,0.004,0,1,0,0,1,0,0,1,0,0,0,0,0
"Achnanthidium.minutissimum.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",386.871412587139,396.071327674164,0.08473,NA,13,4,6.911,6.962,0.003,0.003,0,0,0,0,1,0,0,1,0,0,0,0,0
"Achnanthidium.minutissimum.K+Mg+mix_event","K+Mg+mix_event","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",386.883236515917,396.032339082599,0.07137,NA,17,6,6.923,6.923,0.003,0.003,0,1,1,0,0,0,0,1,0,0,0,0,0
"Achnanthidium.minutissimum.K+mix_event","K+mix_event","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",387.329679005839,396.529594092864,0.08533,NA,13,3,7.369,7.42,0.003,0.003,0,0,1,0,0,0,0,1,0,0,0,0,0
"Achnanthidium.minutissimum.Mg+mix_event","Mg+mix_event","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",388.19984155968,397.399756646705,0.06077,NA,13,4,8.24,8.29,0.002,0.002,0,1,0,0,0,0,0,1,0,0,0,0,0
"Achnanthidium.minutissimum.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",389.686515112797,398.008671291595,0.06685,NA,9,2,9.726,8.899,0.001,0.001,0,0,0,0,0,0,0,1,0,0,0,0,0
"Achnanthidium.minutissimum.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",394.712546991318,403.861649558,0.38444,NA,17,8,14.752,14.752,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.705522125603,404.854624692285,0.38882,NA,17,7,15.745,15.745,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.598032653632,405.797947740658,0.3809,NA,13,4,16.638,16.689,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
