"","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"CJ-001-J",2.97083483455541,2.44893808784542,0.45484486000851,3.03352427498327,0.389166084364532,1.04610478724604,2.40283375783253,3.62810782501823,0.848189116991399,1.22349594096239,3.56705578890775,2.58843582110896,0.417671124211382
"CJ-003-J",2.91011725415051,2.50709991940417,0.763427993562937,2.93663938821444,0.292256071356476,0.974971994298069,1.43912734244285,4.10500747482416,0.951823035315912,1.46960555089225,3.59298128922869,3.36154726279432,2.21534232524005
"CJ-020-J",2.78522302815318,2.08185117151745,0.44870631990508,2.71487438223157,0.178976947293169,0.879669205632054,1.21168107629914,4.69189668717077,1.28443073384452,1.28545378606845,3.61407950927518,0.447213595499958,4.68952239465812
"CJ-023-J",2.5124842758779,2.20588072988754,0.44870631990508,2.81174252544139,0.209515014542631,0.96189547366785,1.5991076337705,3.95646858563411,0.877946951629188,1.53534096560896,3.59870845345521,2.68328157299975,1.51657508881031
"CJ-024-J",2.72316823654289,2.20588072988754,0.44870631990508,2.81174252544139,0.130333768495006,0.913283901760419,1.08682235709906,4.4973340175194,1.32118402730231,1.62446774025357,3.61576598957189,1.26491106406735,5.09789635045673
"CJ-039-J",2.65055034923941,2.50709991940417,0.765668554759014,2.74962038519993,0.0644579892269185,0.997823080745725,1.18361144921843,3.73377887825199,0.883661435153618,1.68071524169522,3.57706073828134,2.50998007960223,2.4472634232955
"CJ-043-J",2.83950947130836,2.50709991940417,0.765668554759014,2.89089585604746,0.178976947293169,1.01535975540921,1.40000234592796,3.81844034780952,0.975431808509263,1.81629460553912,3.59552377770781,2.60768096208106,1.9177364944121
"CJ-051-J",2.68828630932597,2.38244931979892,0.44870631990508,2.89089585604746,0.130333768495006,0.985875357308394,1.41702305042196,4.02128235220358,0.968482948553935,1.78704581941592,3.57706073828134,1.61245154965971,0.728542628128238
"CJ-097-J",2.56354041118945,1.90552604843505,0.44870631990508,2.63573500194596,0.193124598354462,0.928395852256714,0.92649678927322,4.40981904267791,0.863322860120456,1.40269975556247,3.58458561926804,2.79284800875379,3.04658002159799
"CJ-121-J",2.93127984466401,2.558144341171,0.44870631990508,3.09796840083521,0.301029995663981,0.99211148778695,1.62785723263825,2.99749559965802,0.926856708949692,1.26613052205251,3.59870845345521,3.14642654451045,1.60661862462751
"CJ-001-S",2.94677148184619,1.90118578013715,1.37748838337613,2.99732084205518,0.235528446907549,1.00646604224923,2.40283375783253,3.62810782501823,0.966141732739033,1.22349594096239,3.56705578890775,2.58843582110896,0.417671124211382
