"","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"CJ-003-D",2.88312178005941,2.64047149876788,1.27044590801796,2.93381617425738,0.468347330412157,1.02407498730743,1.43912734244285,4.10500747482416,0.841984804590114,1.46960555089225,3.59298128922869,3.36154726279432,2.21534232524005
"CJ-020-D",2.90539106957401,2.07685881012859,0.44870631990508,2.61177639699731,0.146128035678238,0.976808337338066,1.21168107629914,4.69189668717077,1.28443073384452,1.28545378606845,3.61407950927518,0.447213595499958,4.68952239465812
"CJ-023-D",2.55876855181658,2.07685881012859,0.44870631990508,2.72562581821306,0.146128035678238,1.02857125269254,1.5991076337705,3.95646858563411,0.942008053022313,1.53534096560896,3.59870845345521,2.68328157299975,1.51657508881031
"CJ-024-D",2.7183771123549,2.07685881012859,0.44870631990508,2.72562581821306,-0.00877392430750515,0.966141732739033,1.08682235709906,4.4973340175194,1.41912930774198,1.62446774025357,3.61576598957189,1.26491106406735,5.09789635045673
"CJ-039-D",2.68363231052613,2.20156097811674,1.33725953975028,2.81574373131192,0.0211892990699381,0.974511692737328,1.18361144921843,3.73377887825199,0.924279286061882,1.68071524169522,3.59552377770781,2.50998007960223,2.4472634232955
"CJ-043-D",2.80851480521437,1.60151678365001,1.13703745478951,2.69077180318066,0.243038048686294,1.07518185461869,1.40000234592796,3.81844034780952,1.02734960777476,1.81629460553912,3.57706073828134,2.60768096208106,1.9177364944121
"CJ-051-D",2.7183771123549,2.20156097811674,0.44870631990508,2.81574373131192,0.178976947293169,1.04178731897175,1.41702305042196,4.02128235220358,1.00860017176192,1.78704581941592,3.58458561926804,1.61245154965971,0.728542628128238
"CJ-097-D",2.44970975557137,1.60151678365001,0.44870631990508,2.56590682206766,0.123851640967086,1.04218159451577,0.92649678927322,4.40981904267791,0.905795880367869,1.40269975556247,3.59870845345521,2.79284800875379,3.04658002159799
"CJ-121-D",3.0193032669544,2.37743375170339,0.44870631990508,3.0264719768761,0.296665190261531,0.997386384397313,1.62785723263825,2.99749559965802,0.835690571492426,1.26613052205251,3.56705578890775,3.14642654451045,1.60661862462751
"CJ-001-F",2.98238431583721,2.0746336182969,1.68797462003456,3.0264719768761,1.06632592536204,1.06258198422816,2.40283375783253,3.62810782501823,0.931966114728173,1.22349594096239,3.49862065339714,2.58843582110896,0.417671124211382
"CJ-003-F",2.8326685504518,2.07470675647187,1.13129779659762,2.91256744108338,-0.522878745280338,1.02938377768521,1.43912734244285,4.10500747482416,0.946943270697825,1.46960555089225,3.59298128922869,3.36154726279432,2.21534232524005
"CJ-020-F",2.80634958714047,1.89905406799817,0.44870631990508,2.56590682206766,0.146128035678238,0.989004615698537,1.21168107629914,4.69189668717077,1.28443073384452,1.28545378606845,3.61407950927518,0.447213595499958,4.68952239465812
"CJ-023-F",2.50548913841672,1.89905406799817,0.44870631990508,2.61156400208812,0.20682587603185,0.999130541287371,1.5991076337705,3.95646858563411,0.942008053022313,1.53534096560896,3.59870845345521,2.68328157299975,1.51657508881031
"CJ-024-F",2.60233134059134,2.19939860235962,0.44870631990508,2.65306772481521,0.0899051114393979,0.992553517832136,1.08682235709906,4.4973340175194,1.38471174293828,1.62446774025357,3.61576598957189,1.26491106406735,5.09789635045673
"CJ-039-F",2.64369936463931,2.07470675647187,0.872738827472669,2.61156400208812,0.0644579892269185,1.06032002868829,1.18361144921843,3.73377887825199,0.88930170250631,1.68071524169522,3.57706073828134,2.50998007960223,2.4472634232955
"CJ-043-F",2.80634958714047,2.07470675647187,0.94299959336604,2.81561094999715,0.100370545117563,1.09096307659573,1.40000234592796,3.81844034780952,1.03140846425162,1.81629460553912,3.59552377770781,2.60768096208106,1.9177364944121
"CJ-051-F",2.68146737353373,1.89905406799817,0.44870631990508,2.78763755687842,0.103803720955957,1.04257551244019,1.41702305042196,4.02128235220358,0.966141732739033,1.78704581941592,3.57706073828134,1.61245154965971,0.728542628128238
"CJ-097-F",2.38066339634058,1.89905406799817,0.44870631990508,2.72562581821306,0.2405492482826,1.02612451674545,0.92649678927322,4.40981904267791,0.916453948549925,1.40269975556247,3.58458561926804,2.79284800875379,3.04658002159799
"CJ-121-F",2.9639058261187,1.89905406799817,0.44870631990508,2.78763755687842,0.20682587603185,1.088844562727,1.62785723263825,2.99749559965802,0.916453948549925,1.26613052205251,3.59870845345521,3.14642654451045,1.60661862462751
